Id,Name,Parent
211,Женщинам,0
216,Копии брендов,211
152,Сумки на пояс,211
38,Сумки классические,211
25,Клатч вечерний,211
14,Сумки через плечо,211
56,Кошельки,211
102,Рюкзаки женские,211
212,Мужчинам,0
46,Мужские сумки,212
103,Рюкзаки мужские,212
109,Бренды,0
159,Dovili,109
161,E. Style,109
156,Love Dream,109
106,David Jones,109
110,Baliford,109
112,Balisa,109
150,Baliviya,109
105,E.S,109
71,Little Pigeon,109
108,Ronaerdo,109
201,SLY,109
42,Аксессуары,0
73,Косметички,42
116,Перчатки,42
111,Натуральная замша,0
107,Натуральная кожа,0
67,Дорожные и спортивные сумки,0
217,Спортивные рюкзаки,0
81,Суперцена,0
99,Уценка,0
36,Распродажа,0
